subj,lineup,exposure,target,resp_expec,resp_given,conf,conf_cat,age,suspect_id,filler_id,no_id,is_target,say_target,is_corr
191,D2,30s,absent,0,4,7,high,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
81,D1,60s,absent,0,6,4,med,19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
122,D1,30s,absent,0,9,8,high,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,YO,15s,present,7,0,9,high,35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
103,YO,15s,absent,0,4,9,high,39,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
261,W2,30s,absent,0,2,5,med,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
157,D3,60s,absent,0,7,6,med,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
228,D3,60s,absent,0,3,5,med,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
12,W2,60s,absent,0,2,7,high,34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
53,YO,15s,present,3,2,6,med,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
211,D2,30s,absent,0,4,2,low,27,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
267,D2,30s,absent,0,5,7,high,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
176,D2,60s,present,7,6,10,high,27,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
169,W2,30s,present,3,3,8,high,39,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
166,D3,30s,present,3,6,8,high,28,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
187,D2,30s,present,3,0,5,med,23,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
206,W2,60s,present,3,3,8,high,22,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
226,W1,60s,present,7,5,4,med,18,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
217,W1,15s,present,7,6,8,high,19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
78,D3,60s,present,7,4,7,high,19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
102,D3,15s,present,3,3,5,med,27,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
177,D1,30s,present,3,3,5,med,21,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
60,D2,60s,absent,0,5,5,med,37,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
123,W1,30s,present,7,2,6,med,33,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
101,W1,30s,present,7,1,6,med,21,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
200,YO,60s,present,7,4,6,med,30,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
214,YO,60s,present,7,2,2,low,24,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
75,YO,30s,absent,0,0,4,med,20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
164,W1,30s,absent,0,2,6,med,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
258,YO,30s,present,7,3,4,med,19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
223,YO,30s,present,7,4,5,med,19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
19,D3,15s,present,7,7,3,low,28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
161,W1,60s,present,3,1,7,high,25,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
264,W1,60s,present,3,3,2,low,23,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
144,D1,30s,absent,0,3,7,high,27,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
64,D2,15s,present,7,9,7,high,21,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
167,W2,15s,absent,0,2,8,high,33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
241,D3,15s,absent,0,3,6,med,19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
88,D2,60s,absent,0,5,9,high,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
192,YO,30s,present,3,2,10,high,28,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
33,D1,15s,absent,0,3,8,high,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
265,W1,15s,absent,0,7,7,high,27,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
178,D3,30s,present,7,9,5,med,22,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
94,W1,15s,absent,0,0,8,high,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
205,D1,15s,absent,0,3,7,high,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
83,D2,15s,absent,0,5,6,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
24,D2,60s,present,3,1,9,high,36,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40,D2,60s,present,3,1,9,high,19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
175,D3,30s,absent,0,1,9,high,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
231,W1,30s,absent,0,7,6,med,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
130,W1,30s,absent,0,0,7,high,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
85,D3,30s,absent,0,1,7,high,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
152,W2,30s,present,7,1,2,low,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
232,W2,30s,present,7,5,4,med,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
263,W2,15s,present,7,0,4,med,23,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
215,W2,15s,present,7,7,8,high,21,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
95,W1,30s,present,3,0,3,low,20,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
222,D1,15s,present,3,3,7,high,40,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
14,D1,60s,present,7,7,9,high,29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
194,D1,60s,present,3,3,8,high,19,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
239,W2,30s,absent,0,0,8,high,24,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
125,YO,60s,present,3,3,6,med,20,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
